2024-09-19 11:26:54 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 203}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2580, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:55 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 183}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2555, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:56 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 173}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2543, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:57 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 24, 'power': 122, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 147}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2537, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:58 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 155}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2534, 'name': 'POM_5V_IN'}}
2024-09-19 11:26:59 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 159}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 0}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2532, 'name': 'POM_5V_IN'}}
2024-09-19 11:27:00 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 161}, 'POM_5V_GPU': {'volt': 5096, 'curr': 8, 'power': 40, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 20}}, 'tot': {'volt': 5096, 'curr': 512, 'power': 2609, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2570, 'name': 'POM_5V_IN'}}
2024-09-19 11:27:01 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 162}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 10}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2550, 'name': 'POM_5V_IN'}}
2024-09-19 11:27:02 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 162}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 5}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2572, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2561, 'name': 'POM_5V_IN'}}
2024-09-19 11:27:03 - {'rail': {'POM_5V_CPU': {'volt': 5104, 'curr': 32, 'power': 163, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 162}, 'POM_5V_GPU': {'volt': 5104, 'curr': 0, 'power': 0, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2}}, 'tot': {'volt': 5104, 'curr': 496, 'power': 2531, 'warn': 32760, 'crit': 32760, 'online': True, 'avg': 2546, 'name': 'POM_5V_IN'}}
