timestamp,cpu_volt,cpu_curr,cpu_power,cpu_avg_power,gpu_volt,gpu_curr,gpu_power,gpu_avg_power,total_volt,total_curr,total_power,total_avg_power
2024-09-22 13:13:37,5088,336,1709,2335,5096,0,0,0,5096,616,3139,3859
2024-09-22 13:13:38,5016,592,2969,2652,5016,0,0,0,5024,888,4461,4160
2024-09-22 13:13:39,5040,544,2782,2717,5040,0,0,0,5048,848,4273,4216
2024-09-22 13:13:40,5160,48,247,1482,5160,0,0,0,5160,344,1816,3016
2024-09-22 13:13:41,5000,600,3000,2241,5008,0,0,0,5016,936,4654,3835
2024-09-22 13:13:42,5016,552,2768,2504,5024,0,0,0,5024,888,4461,4148
2024-09-22 13:13:43,5056,408,2062,2283,5056,0,0,0,5056,768,3883,4015
2024-09-22 13:13:44,5120,184,942,1612,5120,0,0,0,5112,536,2780,3397
2024-09-22 13:13:45,5008,600,3004,2308,5016,0,0,0,5016,928,4654,4025
2024-09-22 13:13:46,5008,616,3080,2694,5008,0,0,0,5016,928,4654,4339
2024-09-22 13:13:47,5008,584,2964,2829,5016,0,0,0,5016,928,4654,4496
2024-09-22 13:13:48,5016,584,2929,2879,5024,0,0,0,5024,912,4662,4579
2024-09-22 13:13:49,5088,368,1872,2375,5088,0,0,0,5096,624,3179,3879
2024-09-22 13:13:50,5016,544,2728,2551,5016,0,0,0,5024,896,4501,4190
2024-09-22 13:13:51,5008,584,2929,2740,5016,0,0,0,5016,920,4574,4382
2024-09-22 13:13:52,5008,592,3004,2872,5008,0,0,0,5016,952,4735,4558
2024-09-22 13:13:53,5096,256,1304,2088,5096,0,0,0,5088,656,3373,3965
2024-09-22 13:13:54,5112,216,1104,1596,5120,0,0,0,5120,520,2662,3313
2024-09-22 13:13:55,5008,592,2964,2280,5016,0,0,0,5016,912,4574,3943
2024-09-22 13:13:56,5056,416,2103,2191,5056,0,0,0,5048,800,4038,3990
2024-09-22 13:13:57,5008,608,3044,2617,5016,0,0,0,5016,912,4574,4282
2024-09-22 13:13:58,4992,640,3194,2905,5000,0,0,0,5008,960,4807,4544
2024-09-22 13:13:59,5096,320,1633,2269,5104,0,0,0,5112,576,2944,3744
2024-09-22 13:14:00,5024,568,2853,2561,5024,8,40,20,5024,888,4461,4102
2024-09-22 13:14:01,5032,552,2777,2669,5032,0,0,10,5032,856,4307,4204
2024-09-22 13:14:02,5000,616,3084,2876,5008,0,0,5,5016,936,4694,4449
2024-09-22 13:14:03,5016,592,2969,2922,5016,0,0,2,5024,912,4581,4515
2024-09-22 13:14:04,5040,552,2782,2852,5040,0,0,1,5040,848,4273,4394
2024-09-22 13:14:05,5008,584,2924,2888,5008,0,0,0,5016,928,4654,4524
2024-09-22 13:14:06,5024,600,3049,2968,5024,0,0,0,5040,848,4273,4398
2024-09-22 13:14:07,5032,552,2777,2872,5032,0,0,0,5032,856,4307,4352
